id;lat;lng;time;plastico objeto ;medusas;otros;plastico agregados;boyas
ID_40;41,30;2,15;2022-02-06T00:00:00;1;5;4;3;3
ID_41;41,36;2,15;2022-01-23T00:00:00;9;1;9;8;1
ID_42;41,30;2,15;2022-10-31T00:00:00;4;5;3;7;3
ID_43;41,33;2,17;2022-02-17T00:00:00;7;5;3;6;0
ID_44;41,31;2,17;2022-07-24T00:00:00;0;0;3;10;7
ID_45;41,37;2,14;2022-01-29T00:00:00;4;0;8;10;6
ID_46;41,37;2,18;2022-08-18T00:00:00;7;9;7;6;1
ID_47;41,36;2,18;2022-09-20T00:00:00;9;0;5;6;0
ID_48;41,33;2,16;2022-01-05T00:00:00;1;10;3;4;6
ID_49;41,31;2,16;2022-06-04T00:00:00;3;2;4;3;6
ID_50;41,37;2,14;2022-09-12T00:00:00;4;4;0;6;3
ID_51;41,32;2,15;2022-05-22T00:00:00;6;7;3;6;10
ID_52;41,35;2,14;2022-10-27T00:00:00;5;9;9;4;5
ID_53;41,31;2,16;2022-09-19T00:00:00;0;6;8;7;0
ID_54;41,36;2,18;2022-04-25T00:00:00;3;8;3;3;6
ID_55;41,34;2,18;2022-10-17T00:00:00;8;9;3;0;7
ID_56;41,32;2,14;2022-07-15T00:00:00;4;10;8;6;8
ID_57;41,35;2,17;2022-12-08T00:00:00;4;1;10;0;7
ID_58;41,35;2,14;2022-01-24T00:00:00;7;8;6;2;10
ID_59;41,34;2,16;2022-02-05T00:00:00;6;0;6;5;1
ID_60;41,37;2,18;2023-01-15T00:00:00;6;1;10;1;0
ID_61;41,37;2,17;2022-10-04T00:00:00;5;5;5;5;7
ID_62;41,36;2,16;2023-01-19T00:00:00;9;4;0;5;8
ID_63;41,31;2,15;2022-01-30T00:00:00;3;7;8;7;5
ID_64;41,30;2,15;2023-01-30T00:00:00;6;2;9;8;9
ID_65;41,34;2,17;2022-03-17T00:00:00;2;7;9;1;0
ID_66;41,32;2,16;2022-11-09T00:00:00;4;10;9;0;3
ID_67;41,29;2,14;2023-01-08T00:00:00;7;8;1;5;7
ID_68;41,35;2,16;2022-07-30T00:00:00;7;5;10;8;9
ID_69;41,37;2,18;2022-04-01T00:00:00;8;9;6;4;4
ID_70;41,34;2,18;2022-02-27T00:00:00;6;0;9;3;7
ID_71;41,33;2,18;2023-02-24T00:00:00;5;7;5;1;1
ID_72;41,31;2,16;2022-10-13T00:00:00;10;6;3;2;5
ID_73;41,36;2,17;2022-05-27T00:00:00;9;8;5;3;8
ID_74;41,35;2,17;2022-12-17T00:00:00;0;10;7;8;4
ID_75;41,31;2,15;2022-03-22T00:00:00;0;9;3;8;7
ID_76;41,37;2,17;2023-02-22T00:00:00;2;9;6;2;5
ID_77;41,35;2,16;2022-05-15T00:00:00;5;0;5;3;1
ID_78;41,31;2,14;2022-05-27T00:00:00;10;8;0;4;0
ID_79;41,35;2,15;2022-03-25T00:00:00;9;9;10;4;2
ID_80;41,33;2,17;2022-07-24T00:00:00;6;4;4;7;2
ID_81;41,32;2,14;2022-07-27T00:00:00;1;5;2;4;9
ID_82;41,36;2,18;2023-01-08T00:00:00;6;10;0;0;0
ID_83;41,33;2,18;2022-08-23T00:00:00;8;10;4;2;1
ID_84;41,31;2,18;2022-08-17T00:00:00;8;10;1;0;0
ID_85;41,31;2,14;2022-03-14T00:00:00;0;1;9;7;7
ID_86;41,34;2,17;2022-12-18T00:00:00;1;6;1;3;4
ID_87;41,37;2,17;2022-06-06T00:00:00;3;9;0;0;9
ID_88;41,36;2,18;2022-06-12T00:00:00;6;2;7;3;3
ID_89;41,29;2,15;2022-01-27T00:00:00;6;4;3;5;3
ID_90;41,37;2,18;2023-02-27T00:00:00;2;4;10;10;8
ID_91;41,29;2,15;2023-02-22T00:00:00;7;5;9;7;7
ID_92;41,36;2,18;2022-07-26T00:00:00;6;0;8;7;4
ID_93;41,33;2,15;2023-01-06T00:00:00;9;2;5;4;6
ID_94;41,33;2,16;2022-07-30T00:00:00;2;4;4;2;4
ID_95;41,33;2,15;2022-09-30T00:00:00;8;10;8;9;4
ID_96;41,32;2,15;2023-02-11T00:00:00;6;1;5;7;4
ID_97;41,33;2,15;2022-03-25T00:00:00;6;0;0;10;2
ID_98;41,37;2,16;2022-04-24T00:00:00;0;1;0;8;4
ID_99;41,32;2,14;2022-09-02T00:00:00;2;6;0;3;3
ID_100;41,35;2,17;2022-05-07T00:00:00;1;4;7;9;5
ID_101;41,32;2,16;2023-01-04T00:00:00;4;1;4;2;5
ID_102;41,35;2,18;2023-02-16T00:00:00;3;7;3;9;10
ID_103;41,35;2,14;2022-06-12T00:00:00;9;4;5;3;1
ID_104;41,30;2,18;2023-02-02T00:00:00;4;6;8;1;7
ID_105;41,36;2,15;2023-01-25T00:00:00;10;9;1;7;0
ID_106;41,36;2,17;2023-01-16T00:00:00;5;8;2;5;4
ID_107;41,31;2,16;2022-08-17T00:00:00;7;8;8;3;6
ID_108;41,34;2,18;2022-02-18T00:00:00;4;6;5;7;9
ID_109;41,33;2,14;2022-12-18T00:00:00;1;1;7;8;3
ID_110;41,33;2,14;2023-01-11T00:00:00;10;3;3;8;8
ID_111;41,36;2,15;2023-02-25T00:00:00;10;9;0;5;5
ID_112;41,30;2,15;2022-08-22T00:00:00;2;5;7;5;8
ID_113;41,32;2,15;2022-05-21T00:00:00;6;0;0;2;3
ID_114;41,33;2,18;2022-03-31T00:00:00;2;3;6;8;10
ID_115;41,29;2,17;2022-06-12T00:00:00;2;5;9;7;10
ID_116;41,34;2,14;2022-02-09T00:00:00;6;4;10;5;1
ID_117;41,33;2,14;2022-10-26T00:00:00;6;0;7;8;1
ID_118;41,31;2,16;2022-04-12T00:00:00;3;5;0;9;8
ID_119;41,30;2,15;2022-03-31T00:00:00;10;3;8;7;2
ID_120;41,31;2,18;2022-02-07T00:00:00;8;9;3;1;4
ID_121;41,31;2,18;2022-07-16T00:00:00;8;2;2;1;6
ID_122;41,31;2,18;2022-11-17T00:00:00;7;7;1;8;4
ID_123;41,32;2,18;2022-11-28T00:00:00;5;5;8;10;10
ID_124;41,36;2,15;2022-09-24T00:00:00;9;10;6;6;6
ID_125;41,33;2,18;2022-07-15T00:00:00;6;10;4;4;4
ID_126;41,29;2,17;2022-11-24T00:00:00;1;9;7;9;3
ID_127;41,33;2,16;2022-01-11T00:00:00;2;8;2;4;4
ID_128;41,33;2,18;2022-05-13T00:00:00;8;1;3;10;8
ID_129;41,35;2,14;2022-07-17T00:00:00;1;6;6;2;8
ID_130;41,33;2,14;2022-04-17T00:00:00;2;9;6;6;10
ID_131;41,36;2,15;2022-12-28T00:00:00;5;8;9;10;9
ID_132;41,37;2,17;2022-06-04T00:00:00;9;10;4;3;1
ID_133;41,29;2,17;2022-04-07T00:00:00;2;10;7;0;9
ID_134;41,36;2,16;2022-04-04T00:00:00;6;1;6;8;1
ID_135;41,36;2,14;2022-11-28T00:00:00;10;10;3;0;10
ID_136;41,34;2,14;2022-07-18T00:00:00;1;3;2;7;0
ID_137;41,31;2,18;2022-05-12T00:00:00;9;9;8;4;1
ID_138;41,31;2,17;2022-05-02T00:00:00;0;9;3;10;5
ID_139;41,37;2,14;2022-07-27T00:00:00;5;3;9;4;5
ID_140;41,35;2,16;2022-03-16T00:00:00;6;6;7;4;8
ID_141;41,33;2,16;2023-02-13T00:00:00;3;4;7;7;1
ID_142;41,31;2,16;2022-09-25T00:00:00;0;2;8;1;1
ID_143;41,36;2,15;2022-02-10T00:00:00;2;6;0;5;10
ID_144;41,37;2,17;2022-01-12T00:00:00;2;0;7;0;0
ID_145;41,36;2,14;2023-02-10T00:00:00;10;1;2;0;6
ID_146;41,32;2,14;2022-04-30T00:00:00;9;0;0;7;4
ID_147;41,32;2,18;2022-09-14T00:00:00;4;7;10;3;6
ID_148;41,36;2,15;2022-04-11T00:00:00;9;2;7;2;5
ID_149;41,30;2,16;2022-12-23T00:00:00;2;6;9;8;3
ID_150;41,36;2,18;2022-03-27T00:00:00;2;1;0;3;9
ID_151;41,31;2,14;2023-02-20T00:00:00;1;0;3;10;2
ID_152;41,36;2,18;2022-07-09T00:00:00;8;3;2;5;5
ID_153;41,35;2,15;2023-01-02T00:00:00;10;9;3;7;3
ID_154;41,35;2,18;2022-09-06T00:00:00;5;1;8;4;0
ID_155;41,35;2,16;2023-02-11T00:00:00;6;8;8;5;2
ID_156;41,31;2,16;2022-07-05T00:00:00;9;6;1;9;5
ID_157;41,33;2,14;2023-02-02T00:00:00;2;6;8;8;3
ID_158;41,37;2,14;2022-08-01T00:00:00;9;7;9;9;7
ID_159;41,34;2,18;2022-10-25T00:00:00;2;2;6;5;0
ID_160;41,33;2,18;2022-01-07T00:00:00;0;7;2;9;3
ID_161;41,36;2,15;2023-02-23T00:00:00;8;4;8;10;4
ID_162;41,34;2,14;2022-09-01T00:00:00;4;1;0;1;9
ID_163;41,36;2,15;2022-07-08T00:00:00;4;0;9;3;2
ID_164;41,35;2,15;2022-02-12T00:00:00;7;9;6;6;10
ID_165;41,37;2,17;2022-01-16T00:00:00;1;5;4;4;9
ID_166;41,33;2,16;2022-12-05T00:00:00;0;4;7;3;8
ID_167;41,29;2,14;2022-02-07T00:00:00;7;0;10;6;9
ID_168;41,34;2,16;2022-09-24T00:00:00;9;8;3;8;3
ID_169;41,29;2,15;2023-01-20T00:00:00;10;7;6;0;4
ID_170;41,29;2,16;2022-11-01T00:00:00;2;0;3;5;7
ID_171;41,30;2,15;2022-11-02T00:00:00;4;5;10;8;7
ID_172;41,31;2,16;2022-12-07T00:00:00;0;8;9;7;5
ID_173;41,34;2,18;2022-07-23T00:00:00;8;10;9;5;7
ID_174;41,32;2,14;2022-03-15T00:00:00;6;9;2;3;1
ID_175;41,34;2,18;2022-02-21T00:00:00;6;4;6;0;5
ID_176;41,32;2,15;2022-06-27T00:00:00;10;7;2;7;9
ID_177;41,30;2,14;2022-02-18T00:00:00;6;3;6;9;4
ID_178;41,29;2,14;2022-12-28T00:00:00;5;10;10;9;5
ID_179;41,31;2,17;2023-01-23T00:00:00;2;9;9;6;8
ID_180;41,35;2,17;2022-11-12T00:00:00;3;8;2;4;10
ID_181;41,32;2,15;2022-06-29T00:00:00;0;5;1;9;10
ID_182;41,33;2,16;2023-01-27T00:00:00;7;7;0;1;4
ID_183;41,29;2,16;2022-10-05T00:00:00;1;5;2;5;10
ID_184;41,37;2,15;2022-02-08T00:00:00;3;3;5;7;9
ID_185;41,36;2,15;2023-01-31T00:00:00;10;1;0;10;0
ID_186;41,37;2,15;2022-11-06T00:00:00;2;5;5;6;3
ID_187;41,29;2,18;2022-01-13T00:00:00;5;3;3;5;8
ID_188;41,30;2,15;2022-04-10T00:00:00;9;0;1;4;8
ID_189;41,34;2,16;2022-09-23T00:00:00;4;3;9;2;6
ID_190;41,33;2,18;2022-12-31T00:00:00;8;5;8;10;8
ID_191;41,37;2,16;2022-08-20T00:00:00;9;10;8;3;1
ID_192;41,37;2,18;2022-07-16T00:00:00;2;5;8;5;2
ID_193;41,29;2,18;2022-02-14T00:00:00;1;4;10;7;8
ID_194;41,32;2,17;2022-07-18T00:00:00;9;1;7;5;6
ID_195;41,31;2,15;2022-02-02T00:00:00;2;4;1;4;5
ID_196;41,33;2,16;2022-05-28T00:00:00;4;9;7;7;2
ID_197;41,31;2,17;2022-01-15T00:00:00;9;10;7;3;9
ID_198;41,32;2,17;2023-01-14T00:00:00;6;5;5;2;5
ID_199;41,36;2,15;2022-04-20T00:00:00;7;2;0;3;3
ID_200;41,34;2,14;2022-11-26T00:00:00;3;2;5;2;5
ID_201;41,34;2,17;2022-10-29T00:00:00;8;1;8;5;10
ID_202;41,30;2,17;2022-12-24T00:00:00;0;4;7;3;0
ID_203;41,33;2,16;2022-06-28T00:00:00;1;10;1;2;4
ID_204;41,32;2,15;2022-03-26T00:00:00;10;1;5;9;2
ID_205;41,34;2,14;2022-09-27T00:00:00;2;0;6;8;2
ID_206;41,34;2,16;2022-01-24T00:00:00;1;8;9;5;5
ID_207;41,30;2,17;2022-10-21T00:00:00;8;5;9;10;6
ID_208;41,37;2,17;2022-05-05T00:00:00;0;3;2;1;3
ID_209;41,31;2,14;2022-04-18T00:00:00;6;2;5;7;8
ID_210;41,30;2,15;2022-07-25T00:00:00;4;9;2;8;0
ID_211;41,32;2,18;2022-09-25T00:00:00;5;0;4;8;6
ID_212;41,35;2,14;2022-09-01T00:00:00;3;8;2;0;1
ID_213;41,32;2,17;2022-09-28T00:00:00;0;7;7;1;9
ID_214;41,30;2,17;2023-02-04T00:00:00;6;6;3;0;4
ID_215;41,33;2,14;2022-04-20T00:00:00;5;0;10;6;7
ID_216;41,34;2,18;2022-11-07T00:00:00;0;10;5;1;0
ID_217;41,36;2,14;2022-04-17T00:00:00;1;3;3;2;10
ID_218;41,37;2,17;2023-01-29T00:00:00;1;3;1;3;10
ID_219;41,36;2,18;2022-12-12T00:00:00;8;7;5;4;2
ID_220;41,30;2,17;2022-04-25T00:00:00;0;2;10;6;4
ID_221;41,31;2,17;2022-09-21T00:00:00;8;9;6;3;8
ID_222;41,29;2,14;2022-12-30T00:00:00;10;8;1;3;7
ID_223;41,37;2,18;2022-08-07T00:00:00;10;1;9;3;1
ID_224;41,29;2,15;2023-02-01T00:00:00;4;9;2;3;1
ID_225;41,29;2,18;2022-10-08T00:00:00;3;6;1;0;2
ID_226;41,32;2,15;2023-01-10T00:00:00;6;3;2;2;7
ID_227;41,36;2,18;2022-12-17T00:00:00;2;1;3;10;3
ID_228;41,31;2,15;2022-02-27T00:00:00;2;5;2;5;0
ID_229;41,29;2,16;2022-12-18T00:00:00;2;8;9;4;1
ID_230;41,30;2,15;2022-03-28T00:00:00;6;6;9;8;2
ID_231;41,30;2,18;2022-05-06T00:00:00;7;4;2;9;8
ID_232;41,36;2,14;2023-02-15T00:00:00;0;8;7;6;1
ID_233;41,35;2,14;2022-11-29T00:00:00;9;1;4;6;0
ID_234;41,29;2,17;2022-08-14T00:00:00;1;7;10;7;7
ID_235;41,35;2,17;2022-09-11T00:00:00;6;10;7;0;0
ID_236;41,31;2,17;2022-10-29T00:00:00;10;6;7;7;0
ID_237;41,29;2,14;2023-02-13T00:00:00;3;9;0;3;10
ID_238;41,32;2,18;2022-12-24T00:00:00;8;5;9;6;2
ID_239;41,37;2,16;2022-08-19T00:00:00;10;10;8;0;8
ID_240;41,29;2,15;2022-11-03T00:00:00;7;6;2;0;4
ID_241;41,36;2,17;2022-07-20T00:00:00;8;0;1;4;6
ID_242;41,33;2,17;2022-01-01T00:00:00;0;9;6;1;3
ID_243;41,34;2,16;2022-09-26T00:00:00;7;4;0;9;7
ID_244;41,36;2,14;2023-01-10T00:00:00;0;4;9;3;3
ID_245;41,30;2,17;2022-12-31T00:00:00;5;5;0;10;3
ID_246;41,33;2,18;2022-06-01T00:00:00;7;9;5;4;6
ID_247;41,29;2,16;2022-03-19T00:00:00;0;8;6;3;9
ID_248;41,37;2,14;2022-04-24T00:00:00;7;0;9;0;0
ID_249;41,32;2,17;2022-10-04T00:00:00;4;10;4;3;10
ID_250;41,32;2,15;2023-01-03T00:00:00;7;7;1;7;3
ID_251;41,32;2,17;2022-09-05T00:00:00;4;8;10;7;10
ID_252;41,36;2,17;2022-03-30T00:00:00;3;8;5;1;6
ID_253;41,34;2,18;2022-03-10T00:00:00;10;3;2;10;8
ID_254;41,36;2,15;2022-08-01T00:00:00;10;10;8;0;8
ID_255;41,32;2,15;2022-12-05T00:00:00;7;8;0;2;7
ID_256;41,31;2,18;2022-05-19T00:00:00;10;4;8;4;0
ID_257;41,31;2,14;2022-11-15T00:00:00;2;9;5;10;10
ID_258;41,31;2,18;2023-01-17T00:00:00;5;3;2;6;5
ID_259;41,31;2,17;2022-08-02T00:00:00;1;4;6;2;7
ID_260;41,35;2,14;2022-07-12T00:00:00;9;10;3;0;3
ID_261;41,29;2,15;2022-10-27T00:00:00;7;10;4;8;3
ID_262;41,34;2,14;2022-03-10T00:00:00;1;4;5;4;7
ID_263;41,37;2,18;2022-10-29T00:00:00;1;5;8;4;3
ID_264;41,37;2,14;2022-09-15T00:00:00;7;3;10;3;2
ID_265;41,36;2,18;2022-11-23T00:00:00;3;4;9;7;4
ID_266;41,33;2,18;2022-07-16T00:00:00;10;1;7;4;7
ID_267;41,29;2,18;2022-02-07T00:00:00;4;2;0;4;7
ID_268;41,36;2,18;2022-09-20T00:00:00;2;6;6;10;8
ID_269;41,33;2,18;2022-02-27T00:00:00;1;9;7;1;2
ID_270;41,29;2,17;2022-05-24T00:00:00;5;2;2;6;8
ID_271;41,36;2,15;2022-08-31T00:00:00;9;10;1;6;7
ID_272;41,29;2,18;2022-01-25T00:00:00;5;9;5;8;5
ID_273;41,35;2,17;2022-06-09T00:00:00;1;10;5;8;9
ID_274;41,31;2,15;2022-04-07T00:00:00;7;9;8;2;2
ID_275;41,31;2,17;2023-02-18T00:00:00;0;8;9;5;0
ID_276;41,29;2,16;2022-10-22T00:00:00;9;7;9;7;4
ID_277;41,37;2,14;2022-06-26T00:00:00;6;1;4;7;2
ID_278;41,36;2,15;2023-01-04T00:00:00;6;8;2;6;0
ID_279;41,29;2,17;2022-08-26T00:00:00;1;2;8;9;1
ID_280;41,35;2,18;2022-03-13T00:00:00;9;2;4;9;7
ID_281;41,35;2,16;2023-01-23T00:00:00;7;2;3;8;0
ID_282;41,36;2,16;2022-07-15T00:00:00;5;6;5;3;4
ID_283;41,30;2,16;2022-04-24T00:00:00;6;5;9;1;0
ID_284;41,36;2,18;2022-11-13T00:00:00;4;6;8;6;1
ID_285;41,34;2,14;2022-04-11T00:00:00;1;6;2;4;2
ID_286;41,33;2,17;2022-10-12T00:00:00;7;2;4;5;9
ID_287;41,33;2,14;2022-04-01T00:00:00;8;6;6;0;6
ID_288;41,32;2,18;2022-03-23T00:00:00;2;2;4;7;6
ID_289;41,29;2,16;2022-07-24T00:00:00;4;0;7;4;1
ID_290;41,30;2,16;2022-10-22T00:00:00;1;6;5;3;3
ID_291;41,31;2,15;2022-09-16T00:00:00;0;5;6;4;6
ID_292;41,32;2,14;2022-03-18T00:00:00;3;5;9;2;8
ID_293;41,33;2,18;2022-08-19T00:00:00;5;6;8;5;9
ID_294;41,30;2,16;2022-09-06T00:00:00;2;10;9;7;3
ID_295;41,30;2,17;2022-09-16T00:00:00;1;9;5;2;5
ID_296;41,36;2,18;2022-11-22T00:00:00;6;2;10;8;9
ID_297;41,30;2,14;2022-04-22T00:00:00;8;7;8;6;10
ID_298;41,36;2,14;2023-02-21T00:00:00;5;9;8;4;0
ID_299;41,32;2,17;2022-09-11T00:00:00;2;4;2;6;4
ID_300;41,33;2,16;2022-03-01T00:00:00;7;0;6;4;5
ID_301;41,36;2,17;2023-01-26T00:00:00;1;4;2;7;1
ID_302;41,30;2,17;2022-11-26T00:00:00;6;6;10;2;4
ID_303;41,32;2,15;2022-03-11T00:00:00;10;5;5;7;0
ID_304;41,34;2,17;2022-03-09T00:00:00;10;10;9;8;9
ID_305;41,35;2,15;2022-04-03T00:00:00;8;3;3;5;1
ID_306;41,29;2,14;2022-01-30T00:00:00;3;1;10;7;4
ID_307;41,35;2,16;2022-05-28T00:00:00;5;6;3;6;9
ID_308;41,33;2,16;2022-04-05T00:00:00;1;5;6;4;1
ID_309;41,31;2,17;2022-07-13T00:00:00;10;7;7;0;0
ID_310;41,31;2,17;2023-02-21T00:00:00;8;4;6;9;10
ID_311;41,35;2,17;2022-09-22T00:00:00;6;5;4;10;7
ID_312;41,35;2,14;2022-08-07T00:00:00;5;2;2;8;1
ID_313;41,31;2,16;2022-07-18T00:00:00;8;7;4;8;4
ID_314;41,37;2,16;2023-01-12T00:00:00;4;0;4;4;5
ID_315;41,32;2,15;2022-03-14T00:00:00;9;5;3;8;3
ID_316;41,37;2,16;2022-07-02T00:00:00;1;1;10;0;4
ID_317;41,30;2,18;2022-07-26T00:00:00;4;8;3;4;9
ID_318;41,31;2,18;2022-06-08T00:00:00;7;0;6;0;4
ID_319;41,29;2,17;2022-11-30T00:00:00;7;8;7;6;10
ID_320;41,33;2,17;2022-10-24T00:00:00;0;1;0;2;4
ID_321;41,34;2,16;2023-01-03T00:00:00;3;5;10;6;1
ID_322;41,37;2,14;2023-02-17T00:00:00;6;8;6;10;1
ID_323;41,33;2,16;2022-07-29T00:00:00;5;8;0;8;5
ID_324;41,30;2,17;2022-01-30T00:00:00;10;9;6;0;0
ID_325;41,35;2,14;2022-07-06T00:00:00;1;1;5;8;5
ID_326;41,36;2,18;2022-05-16T00:00:00;9;10;5;2;3
ID_327;41,31;2,17;2022-01-07T00:00:00;5;8;0;7;3
ID_328;41,32;2,16;2022-12-28T00:00:00;3;8;2;1;10
ID_329;41,30;2,17;2023-01-17T00:00:00;5;10;8;5;9
ID_330;41,32;2,18;2022-12-21T00:00:00;1;4;5;8;8
ID_331;41,33;2,15;2023-02-03T00:00:00;8;1;4;9;4
ID_332;41,37;2,18;2022-10-09T00:00:00;7;5;5;3;1
ID_333;41,37;2,16;2022-01-05T00:00:00;7;3;10;8;2
ID_334;41,31;2,16;2022-01-15T00:00:00;10;0;7;5;2
ID_335;41,33;2,17;2023-02-03T00:00:00;8;6;6;0;0
ID_336;41,33;2,18;2022-12-17T00:00:00;3;2;0;8;0
ID_337;41,32;2,15;2022-11-27T00:00:00;8;1;7;0;0
ID_338;41,35;2,15;2022-07-31T00:00:00;6;9;5;6;1
ID_339;41,30;2,16;2023-02-21T00:00:00;9;3;0;7;1
ID_340;41,34;2,15;2022-11-05T00:00:00;2;10;1;4;8
ID_341;41,35;2,14;2022-12-07T00:00:00;1;4;5;5;10
ID_342;41,29;2,16;2022-04-19T00:00:00;7;6;3;8;3
ID_343;41,31;2,17;2022-12-04T00:00:00;3;1;6;9;2
ID_344;41,33;2,14;2023-02-02T00:00:00;9;4;4;4;10
ID_345;41,37;2,14;2022-04-09T00:00:00;1;2;1;7;6
ID_346;41,29;2,15;2023-02-21T00:00:00;8;2;1;6;4
ID_347;41,30;2,15;2022-02-17T00:00:00;1;9;4;7;0
ID_348;41,34;2,18;2022-01-21T00:00:00;8;2;7;9;0
ID_349;41,35;2,14;2022-03-16T00:00:00;4;2;3;6;5
ID_350;41,30;2,14;2022-06-07T00:00:00;0;3;3;4;6
ID_351;41,34;2,17;2022-05-24T00:00:00;0;4;2;8;4
ID_352;41,34;2,16;2022-06-05T00:00:00;8;3;0;2;4
ID_353;41,32;2,14;2022-07-13T00:00:00;0;5;10;5;5
ID_354;41,34;2,14;2022-02-14T00:00:00;6;9;9;9;10
ID_355;41,34;2,14;2022-09-25T00:00:00;5;1;5;7;8
ID_356;41,37;2,14;2022-03-07T00:00:00;8;3;1;7;6
ID_357;41,31;2,14;2022-10-04T00:00:00;1;10;3;3;2
ID_358;41,34;2,16;2022-05-19T00:00:00;3;9;7;10;6
ID_359;41,32;2,18;2022-09-12T00:00:00;6;3;4;0;8
ID_360;41,30;2,16;2022-03-10T00:00:00;7;9;4;3;5
ID_361;41,30;2,15;2023-01-04T00:00:00;3;7;7;0;2
ID_362;41,34;2,16;2022-04-02T00:00:00;3;9;5;8;2
ID_363;41,29;2,17;2022-02-06T00:00:00;4;2;6;0;4
ID_364;41,36;2,15;2022-01-05T00:00:00;0;4;4;6;6
ID_365;41,32;2,16;2022-06-29T00:00:00;0;5;1;8;9
ID_366;41,32;2,14;2022-04-11T00:00:00;1;0;9;4;1
ID_367;41,33;2,14;2022-08-09T00:00:00;6;8;2;9;1
ID_368;41,31;2,17;2022-09-08T00:00:00;9;0;9;10;8
ID_369;41,32;2,18;2022-10-02T00:00:00;5;5;5;7;6
ID_370;41,36;2,14;2022-06-30T00:00:00;5;9;0;0;5
ID_371;41,34;2,16;2022-10-14T00:00:00;2;10;9;10;0
ID_372;41,34;2,16;2022-06-05T00:00:00;1;7;7;2;9
ID_373;41,32;2,15;2022-06-02T00:00:00;4;0;2;6;5
ID_374;41,30;2,18;2022-05-30T00:00:00;1;10;7;6;3
ID_375;41,30;2,14;2022-11-03T00:00:00;6;3;8;4;6
ID_376;41,33;2,14;2022-06-25T00:00:00;7;8;1;8;10
ID_377;41,29;2,17;2022-12-25T00:00:00;8;0;8;9;5
ID_378;41,31;2,15;2022-12-30T00:00:00;3;9;1;9;1
ID_379;41,29;2,15;2022-02-03T00:00:00;10;2;3;9;2
ID_380;41,30;2,16;2022-11-30T00:00:00;0;6;6;9;10
ID_381;41,29;2,15;2022-08-29T00:00:00;3;9;1;0;7
ID_382;41,37;2,17;2022-08-29T00:00:00;1;10;6;2;3
ID_383;41,30;2,18;2022-12-04T00:00:00;2;4;4;4;2
ID_384;41,35;2,17;2022-08-10T00:00:00;3;2;10;1;3
ID_385;41,36;2,15;2022-11-14T00:00:00;6;6;10;5;0
ID_386;41,31;2,14;2022-06-23T00:00:00;0;8;1;5;6
ID_387;41,37;2,15;2022-07-06T00:00:00;7;2;2;5;6
